id;author;author_name;tk_id;views;hearts;comments;shares;created_date;tags;duration;music;music_url;post_url;local_download_path;local_edit_path;claimed;uploaded;last_update;is_downloaded
@ox_zung_6938406663749684481;ox_zung;;;151.4;0;0;0;0;ox_zung|_i2_|fyp|viral|xyzbca|korean|_;13;_- _WonJeong;;https://tiktok.com/@ox_zung/video/6938406663749684481;./downloaded/downloads\@ox_zung_6938406663749684481.mp4;;0;1;25-06-2021T07:40:42;0
@brittneyandzion_6916593920029756677;brittneyandzion;;;98.4;0;0;0;0;brittneyandzion|tiger|zion|bigcat|animals|fyp;32;original sound;;https://tiktok.com/@brittneyandzion/video/6916593920029756677;./downloaded/downloads\@brittneyandzion_6916593920029756677.mp4;;1;0;25-06-2021T07:40:42;0
@harelasafs_6927953729798884609;harelasafs;;;156.6;0;0;0;0;harelasafs|seniorita|fyp;11;original sound;;https://tiktok.com/@harelasafs/video/6927953729798884609;./downloaded/downloads\@harelasafs_6927953729798884609.mp4;;0;1;25-06-2021T07:40:42;0
@ox_zung_6957703087750466818;ox_zung;;;169.0;0;0;0;0;ox_zung|_i2_|fyp|viral|xyzbca|korean|_;12;_- _WonJeong;;https://tiktok.com/@ox_zung/video/6957703087750466818;./downloaded/downloads\@ox_zung_6957703087750466818.mp4;;1;0;25-06-2021T07:40:42;0
@beatboxjcop_6889681500137164034;beatboxjcop;;;172.4;0;0;0;0;beatboxjcop|beatboxchallenge|jinjocrew|fyp|_i2_;39;_- J-COP;;https://tiktok.com/@beatboxjcop/video/6889681500137164034;./downloaded/downloads\@beatboxjcop_6889681500137164034.mp4;;0;1;25-06-2021T07:40:42;0
@garett_olan_6886863579765689606;garett_olan;;;160.6;0;0;0;0;garett_olan|fyp|voiceeffects;13;original sound;;https://tiktok.com/@garett_olan/video/6886863579765689606;./downloaded/downloads\@garett_olan_6886863579765689606.mp4;;0;1;23-06-2021T02:58:02;0
@ronaldwilliamsofficial_6943253205765623045;ronaldwilliamsofficial;;;105.5;0;0;0;0;ronaldwilliamsofficial|ronaldwilliams|fyp|foryou|xyzbca;56;See You Again (Piano Arrangement);;https://tiktok.com/@ronaldwilliamsofficial/video/6943253205765623045;./downloaded/downloads\@ronaldwilliamsofficial_6943253205765623045.mp4;;1;0;19-06-2021T18:39:56;0
@minging888_6881121438632267010;minging888;;;141.3;0;0;0;0;minging888|dogsoftiktok|dogs|puppy|fyp|outfit;25;Tampa Curhat Beat;;https://tiktok.com/@minging888/video/6881121438632267010;./downloaded/downloads\@minging888_6881121438632267010.mp4;;1;0;19-06-2021T18:39:56;0
@nintendo.grl_6899095245141691650;nintendo.grl;;;115.2;0;0;0;0;nintendo.grl|;46;original sound;;https://tiktok.com/@nintendo.grl/video/6899095245141691650;./downloaded/downloads\@nintendo.grl_6899095245141691650.mp4;;0;1;25-06-2021T07:40:44;0
@aiden_m365_6813835842323320069;aiden_m365;;;90.5;0;0;0;0;aiden_m365|plum|deaf|blind|doublemerle|fyp|fypage|cute|dog;26;Surrender;;https://tiktok.com/@aiden_m365/video/6813835842323320069;./downloaded/downloads\@aiden_m365_6813835842323320069.mp4;;1;0;25-06-2021T07:40:46;0
