@funnyvids2k21_6913865911485074690;funnyvids2k21;94.5;funnyvids2k21|foryou|foryoupage|4u|wee|animals|tiktok|dog|fyp|xyzbca|funny|fail|viral|fox;7;.....Wiii;https://tiktok.com/@funnyvids2k21/video/6913865911485074690;./downloaded/90mil+\@funnyvids2k21_6913865911485074690.mp4;0;0
@mr.arnav...07_6748023651062385921;mr.arnav...07;90.2;mr.arnav...07|tiktok;14;original sound - Sohidul Islam;https://tiktok.com/@mr.arnav...07/video/6748023651062385921;./downloaded/90mil+\@mr.arnav...07_6748023651062385921.mp4;0;1
@thesortarican_6788833646091504902;thesortarican;217.6;thesortarican|fyp|featureme|makeup|funny|lol|tiktok|foryou|meme|beauty;13;original sound;https://tiktok.com/@thesortarican/video/6788833646091504902;./downloaded/100mil+\@thesortarican_6788833646091504902.mp4;-1;0
@mattzworld_6835045443987115270;mattzworld;106.4;mattzworld|foryou|foryoupage|tiktok;11;original sound;https://tiktok.com/@mattzworld/video/6835045443987115270;./downloaded/100mil+\@mattzworld_6835045443987115270.mp4;0;1
@supremevenus_6905921714199284998;supremevenus;104.0;supremevenus|beautification|eyelashes|fyp|tiktok|makeup;8;original sound;https://tiktok.com/@supremevenus/video/6905921714199284998;./downloaded/100mil+\@supremevenus_6905921714199284998.mp4;-1;0
@deepesh_zo_6838644387279359233;deepesh_zo;128.6;deepesh_zo|story|fyp|15svines|tiktok|tiktokindia;58;original sound;https://tiktok.com/@deepesh_zo/video/6838644387279359233;./downloaded/100mil+\@deepesh_zo_6838644387279359233.mp4;-1;0
@monikundu4_6798211746101267714;monikundu4;91.2;monikundu4|15svines|sofunny|foryou|familymasti|comedystar|tiktok;12;original sound - Abraz I Khan;https://tiktok.com/@monikundu4/video/6798211746101267714;./downloaded/90mil+\@monikundu4_6798211746101267714.mp4;0;1
@natashakhanal25_6753383764296076550;natashakhanal25;103.3;natashakhanal25|duet|feautureme|foryou|tiktok|keepsupporting;8;original sound - Somya;https://tiktok.com/@natashakhanal25/video/6753383764296076550;./downloaded/100mil+\@natashakhanal25_6753383764296076550.mp4;-1;0
@ahmad_ataki_6790355609196956934;ahmad_ataki;119.1;ahmad_ataki|سوريا|مصر|لبنان|تركيا|المغرب|الجزائر|تونس|tiktok|love|marocco;15;orijinal ses;https://tiktok.com/@ahmad_ataki/video/6790355609196956934;./downloaded/100mil+\@ahmad_ataki_6790355609196956934.mp4;1;0
@alpeshpoptani_6819288993335627009;alpeshpoptani;121.3;alpeshpoptani|alpessalon|tiktokindia|tiktok|foryoupage|fyp|foryou|trending|style|hair;14;original sound -  SP Rathore;https://tiktok.com/@alpeshpoptani/video/6819288993335627009;./downloaded/100mil+\@alpeshpoptani_6819288993335627009.mp4;0;1
