video_id;author;views;hearts;comments;shares;post_url;upload_date
@thelydiawebb_6936761034627730694;thelydiawebb;1.1;0.1;0.2;0.7;https://tiktok.com/@thelydiawebb/video/6936761034627730694;07-03-2021T11:15:42
@mrsnykeebaby_6942158014963092741;mrsnykeebaby;1.4;0.2;0.7;0.3;https://tiktok.com/@mrsnykeebaby/video/6942158014963092741;22-03-2021T00:18:42
@rachel_meaders_6900728597447806213;rachel_meaders;1.0;0.1;0.3;10.2;https://tiktok.com/@rachel_meaders/video/6900728597447806213;30-11-2020T08:51:51
@anya.bumag_6901287257395842306;anya.bumag;39.6;4.3;9.3;61.4;https://tiktok.com/@anya.bumag/video/6901287257395842306;01-12-2020T20:59:16
@rachel_meaders_6915576626281565446;rachel_meaders;26.5;3.4;19.8;275.3;https://tiktok.com/@rachel_meaders/video/6915576626281565446;09-01-2021T09:09:32
@rachel_meaders_6897393932221680902;rachel_meaders;18.6;2.8;7.0;138.1;https://tiktok.com/@rachel_meaders/video/6897393932221680902;21-11-2020T09:11:39
@rachel_meaders_6837277310056467717;rachel_meaders;19.2;2.7;6.7;116.5;https://tiktok.com/@rachel_meaders/video/6837277310056467717;12-06-2020T09:08:01
@anya.bumag_6917050596256140550;anya.bumag;32.1;2.4;9.4;234.3;https://tiktok.com/@anya.bumag/video/6917050596256140550;13-01-2021T08:29:18
@stuffyouactuallyneed_6850582294600699142;stuffyouactuallyneed;10.9;1.7;4.5;15.9;https://tiktok.com/@stuffyouactuallyneed/video/6850582294600699142;18-07-2020T05:38:08
@julianna_claire_6938477969656548613;julianna_claire;8.0;1.6;3.2;34.3;https://tiktok.com/@julianna_claire/video/6938477969656548613;12-03-2021T02:18:14
@miriam.gin1_6845307881462516998;miriam.gin1;13.3;1.5;3.8;47.4;https://tiktok.com/@miriam.gin1/video/6845307881462516998;04-07-2020T00:30:42
@annamoraan_6837953621007633670;annamoraan;5.8;1.2;2.8;27.2;https://tiktok.com/@annamoraan/video/6837953621007633670;14-06-2020T04:52:25
@julianna_claire_6935440454448205062;julianna_claire;5.1;1.0;1.7;56.0;https://tiktok.com/@julianna_claire/video/6935440454448205062;03-03-2021T21:51:20
@hello_happy_mom_6803143475505253637;hello_happy_mom;8.0;1.0;0.8;8.3;https://tiktok.com/@hello_happy_mom/video/6803143475505253637;12-03-2020T09:31:16
@stuffyouactuallyneed_6853182079019093254;stuffyouactuallyneed;6.2;0.9;2.0;9.6;https://tiktok.com/@stuffyouactuallyneed/video/6853182079019093254;25-07-2020T05:46:37
@rachel_meaders_6934870126898482437;rachel_meaders;6.5;0.9;1.5;61.4;https://tiktok.com/@rachel_meaders/video/6934870126898482437;02-03-2021T08:58:11
@rachel.alderman_6846771147481091333;rachel.alderman;6.8;0.9;1.6;18.7;https://tiktok.com/@rachel.alderman/video/6846771147481091333;07-07-2020T23:08:55
@hello_happy_mom_6797890454961655045;hello_happy_mom;7.8;0.8;1.6;13.1;https://tiktok.com/@hello_happy_mom/video/6797890454961655045;27-02-2020T05:46:57
@julianna_claire_6949163425603816709;julianna_claire;4.5;0.8;1.1;34.1;https://tiktok.com/@julianna_claire/video/6949163425603816709;09-04-2021T21:23:17
@simplysalfinds_6958229923488124165;simplysalfinds;8.4;0.7;2.7;61.0;https://tiktok.com/@simplysalfinds/video/6958229923488124165;04-05-2021T07:45:56
@briannaxliv_6856507541912849670;briannaxliv;5.2;0.7;1.6;23.9;https://tiktok.com/@briannaxliv/video/6856507541912849670;03-08-2020T04:51:10
@annamoraan_6850140742698962181;annamoraan;2.3;0.7;1.5;7.3;https://tiktok.com/@annamoraan/video/6850140742698962181;17-07-2020T01:04:40
@miriam.gin1_6825709099003464965;miriam.gin1;4.8;0.7;1.9;10.8;https://tiktok.com/@miriam.gin1/video/6825709099003464965;12-05-2020T04:57:24
@misskenzierae_6860219009493634309;misskenzierae;7.0;0.7;1.7;24.4;https://tiktok.com/@misskenzierae/video/6860219009493634309;13-08-2020T04:53:32
@tourdelust_6823107178753248518;tourdelust;5.9;0.6;7.2;20.2;https://tiktok.com/@tourdelust/video/6823107178753248518;05-05-2020T04:40:37
@toponlinefinds_6831230248789544197;toponlinefinds;3.0;0.6;1.0;13.4;https://tiktok.com/@toponlinefinds/video/6831230248789544197;27-05-2020T02:02:18
@hello_happy_mom_6807995086115245318;hello_happy_mom;2.5;0.6;1.6;51.0;https://tiktok.com/@hello_happy_mom/video/6807995086115245318;25-03-2020T11:18:02
@ourfavoritefinds_6905508326625250565;ourfavoritefinds;3.3;0.6;3.4;13.6;https://tiktok.com/@ourfavoritefinds/video/6905508326625250565;13-12-2020T05:59:24
@miriam.gin1_6918473073020652806;miriam.gin1;6.3;0.5;1.6;51.6;https://tiktok.com/@miriam.gin1/video/6918473073020652806;17-01-2021T04:29:11
@simplysalfinds_6844943449502829830;simplysalfinds;5.2;0.5;1.4;12.2;https://tiktok.com/@simplysalfinds/video/6844943449502829830;03-07-2020T00:56:31
@yazicole_6840901478551473413;yazicole;3.9;0.5;0.5;1.6;https://tiktok.com/@yazicole/video/6840901478551473413;22-06-2020T03:31:36
@therelationshitshow_6856546352776629510;therelationshitshow;3.4;0.5;1.1;9.3;https://tiktok.com/@therelationshitshow/video/6856546352776629510;03-08-2020T07:21:47
@username44.4_6799445805930417414;username44.4;3.9;0.5;0.0;7.0;https://tiktok.com/@username44.4/video/6799445805930417414;02-03-2020T10:22:29
@kslatt__6858752159823957253;kslatt_;3.6;0.5;0.9;13.2;https://tiktok.com/@kslatt_/video/6858752159823957253;09-08-2020T06:01:26
@rachel_meaders_6919664102000299270;rachel_meaders;6.0;0.5;1.4;34.1;https://tiktok.com/@rachel_meaders/video/6919664102000299270;20-01-2021T09:31:02
@thecalebchin_6876538867768446214;thecalebchin;1.9;0.5;1.9;17.5;https://tiktok.com/@thecalebchin/video/6876538867768446214;26-09-2020T04:23:27
@tikiharls_6859531040080284933;tikiharls;4.0;0.4;2.6;36.2;https://tiktok.com/@tikiharls/video/6859531040080284933;11-08-2020T08:23:54
@arianalucidonio_6890346072661626117;arianalucidonio;53.1;9.8;100.0;833.1;https://tiktok.com/@arianalucidonio/video/6890346072661626117;02-11-2020T09:22:24
@teresalauracaruso_6897636451849112838;teresalauracaruso;41.3;7.1;77.3;313.3;https://tiktok.com/@teresalauracaruso/video/6897636451849112838;22-11-2020T00:52:54
@xoxoaubzzz_6905553607354076422;xoxoaubzzz;24.8;6.5;45.4;199.4;https://tiktok.com/@xoxoaubzzz/video/6905553607354076422;13-12-2020T08:55:08
@toponlinefinds_6834331690282831110;toponlinefinds;24.5;5.5;18.8;147.6;https://tiktok.com/@toponlinefinds/video/6834331690282831110;04-06-2020T10:37:31
@findswithkayla_6902588435186453766;findswithkayla;23.9;4.5;22.2;269.3;https://tiktok.com/@findswithkayla/video/6902588435186453766;05-12-2020T09:09:00
@layallure_6813091851957046534;layallure;21.7;4.5;13.1;418.7;https://tiktok.com/@layallure/video/6813091851957046534;08-04-2020T04:56:04
@mik.zenon_6899609374478601474;mik.zenon;19.7;4.0;12.4;190.5;https://tiktok.com/@mik.zenon/video/6899609374478601474;27-11-2020T08:28:15
@stuffyouactuallyneed_6961907699927747845;stuffyouactuallyneed;20.1;3.5;4.3;17.4;https://tiktok.com/@stuffyouactuallyneed/video/6961907699927747845;14-05-2021T05:37:35
@leahelite_6940835502119472390;leahelite;32.6;3.5;10.1;21.6;https://tiktok.com/@leahelite/video/6940835502119472390;18-03-2021T10:46:44
@rachel_meaders_6915576626281565446;rachel_meaders;26.5;3.4;19.8;275.3;https://tiktok.com/@rachel_meaders/video/6915576626281565446;09-01-2021T09:09:32
@theamazonbadger_6953613135135673606;theamazonbadger;21.5;3.4;28.8;73.2;https://tiktok.com/@theamazonbadger/video/6953613135135673606;21-04-2021T21:10:26
@itslowkeymalik__6944902887977848069;itslowkeymalik_;11.1;3.4;24.3;63.9;https://tiktok.com/@itslowkeymalik_/video/6944902887977848069;29-03-2021T09:50:15
@toponlinefinds_6863855219550309638;toponlinefinds;15.0;3.4;8.2;101.9;https://tiktok.com/@toponlinefinds/video/6863855219550309638;23-08-2020T00:03:55
@mik.zenon_6862500401392995589;mik.zenon;16.2;3.4;11.6;127.4;https://tiktok.com/@mik.zenon/video/6862500401392995589;19-08-2020T08:26:33
@ladyloko__6924706250391293189;ladyloko_;22.2;3.4;17.2;7.4;https://tiktok.com/@ladyloko_/video/6924706250391293189;02-02-2021T23:37:04
@kajabeauty_6875013827533032709;kajabeauty;19.6;3.3;10.0;15.8;https://tiktok.com/@kajabeauty/video/6875013827533032709;22-09-2020T01:45:32
@moonxdee_6953730314296364294;moonxdee;15.8;3.2;23.5;44.3;https://tiktok.com/@moonxdee/video/6953730314296364294;22-04-2021T04:45:08
